/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadb -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=8 -p status.interval=1000 -p target=90000 -threads 4
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadb -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=8 -p status.interval=1000 -p target=90000 -threads 4
threadcount: 4
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-2] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2023-01-08 18:13:23:637 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2023-01-08 18:13:24:600 1 sec: 0 operations; est completion in 106751991167300 days 15 hours [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2023-01-08 18:13:25:600 2 sec: 96000 operations; 96000 current ops/sec; est completion in 27 minutes [INSERT: Count=96000, Max=782847, Min=89920, Avg=391646.67, 90=612351, 99=782847, 99.9=782847, 99.99=782847] 
2023-01-08 18:13:26:600 3 sec: 187000 operations; 91000 current ops/sec; est completion in 21 minutes [INSERT: Count=91000, Max=872447, Min=67392, Avg=188562.29, 90=484095, 99=872447, 99.9=872447, 99.99=872447] 
2023-01-08 18:13:27:600 4 sec: 270000 operations; 83000 current ops/sec; est completion in 19 minutes [INSERT: Count=83000, Max=1546239, Min=61792, Avg=133162.22, 90=122175, 99=1546239, 99.9=1546239, 99.99=1546239] 
2023-01-08 18:13:28:600 5 sec: 358000 operations; 88000 current ops/sec; est completion in 18 minutes [INSERT: Count=88000, Max=1212415, Min=61024, Avg=155415.27, 90=441599, 99=1212415, 99.9=1212415, 99.99=1212415] 
2023-01-08 18:13:29:600 6 sec: 437000 operations; 79000 current ops/sec; est completion in 18 minutes [INSERT: Count=79000, Max=1168383, Min=63136, Avg=176581.06, 90=528895, 99=1168383, 99.9=1168383, 99.99=1168383] 
2023-01-08 18:13:30:600 7 sec: 544000 operations; 107000 current ops/sec; est completion in 17 minutes [INSERT: Count=107000, Max=1192959, Min=69440, Avg=248677.08, 90=765439, 99=880127, 99.9=1192959, 99.99=1192959] 
2023-01-08 18:13:31:600 8 sec: 639000 operations; 95000 current ops/sec; est completion in 16 minutes [INSERT: Count=95000, Max=441343, Min=60352, Avg=76603.79, 90=89727, 99=441343, 99.9=441343, 99.99=441343] 
2023-01-08 18:13:32:601 9 sec: 714000 operations; 75000 current ops/sec; est completion in 16 minutes [INSERT: Count=75000, Max=824319, Min=58304, Avg=159230.51, 90=457215, 99=824319, 99.9=824319, 99.99=824319] 
2023-01-08 18:13:33:600 10 sec: 810000 operations; 96000 current ops/sec; est completion in 16 minutes [INSERT: Count=96000, Max=850943, Min=59168, Avg=152825, 90=451839, 99=850943, 99.9=850943, 99.99=850943] 
2023-01-08 18:13:34:600 11 sec: 899000 operations; 89000 current ops/sec; est completion in 16 minutes [INSERT: Count=89000, Max=1546239, Min=59456, Avg=151035.69, 90=446975, 99=1546239, 99.9=1546239, 99.99=1546239] 
2023-01-08 18:13:35:600 12 sec: 987000 operations; 88000 current ops/sec; est completion in 16 minutes [INSERT: Count=88000, Max=882687, Min=58368, Avg=142161.45, 90=418559, 99=882687, 99.9=882687, 99.99=882687] 
2023-01-08 18:13:36:600 13 sec: 1088000 operations; 101000 current ops/sec; est completion in 15 minutes [INSERT: Count=101000, Max=772095, Min=61344, Avg=111776.48, 90=137087, 99=471295, 99.9=772095, 99.99=772095] 
2023-01-08 18:13:37:600 14 sec: 1179000 operations; 91000 current ops/sec; est completion in 15 minutes [INSERT: Count=91000, Max=446975, Min=60256, Avg=93265.05, 90=106367, 99=446975, 99.9=446975, 99.99=446975] 
