
/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloada -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=90000 -threads 4
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloada -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=90000 -threads 4
threadcount: 4
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-2] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2022-12-09 12:51:40:785 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2022-12-09 12:51:41:754 1 sec: 0 operations; est completion in 106751991167300 days 15 hours [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2022-12-09 12:51:42:754 2 sec: 132000 operations; 132000 current ops/sec; est completion in 7 minutes [INSERT: Count=133000, Max=640511, Min=51168, Avg=325912.18, 90=575999, 99=635903, 99.9=640511, 99.99=640511] 
2022-12-09 12:51:43:754 3 sec: 226000 operations; 94094.09 current ops/sec; est completion in 6 minutes [INSERT: Count=93000, Max=366847, Min=44672, Avg=135577.98, 90=247679, 99=366847, 99.9=366847, 99.99=366847] 
2022-12-09 12:51:44:754 4 sec: 323000 operations; 97000 current ops/sec; est completion in 6 minutes [INSERT: Count=97000, Max=342271, Min=44640, Avg=108323.3, 90=212607, 99=342271, 99.9=342271, 99.99=342271] 
2022-12-09 12:51:45:754 5 sec: 408000 operations; 84915.08 current ops/sec; est completion in 6 minutes [INSERT: Count=85000, Max=466687, Min=49056, Avg=141849.22, 90=225919, 99=466687, 99.9=466687, 99.99=466687] 
2022-12-09 12:51:46:754 6 sec: 494000 operations; 86086.09 current ops/sec; est completion in 5 minutes [INSERT: Count=86000, Max=338943, Min=44576, Avg=87559.63, 90=193919, 99=338943, 99.9=338943, 99.99=338943] 
2022-12-09 12:51:47:754 7 sec: 580000 operations; 85914.09 current ops/sec; est completion in 5 minutes [INSERT: Count=86000, Max=359679, Min=44736, Avg=127486.51, 90=228735, 99=359679, 99.9=359679, 99.99=359679] 
2022-12-09 12:51:48:754 8 sec: 680000 operations; 100100.1 current ops/sec; est completion in 5 minutes [INSERT: Count=100000, Max=331519, Min=43168, Avg=90791.04, 90=189439, 99=325887, 99.9=331519, 99.99=331519] 
2022-12-09 12:51:49:754 9 sec: 768000 operations; 87912.09 current ops/sec; est completion in 5 minutes [INSERT: Count=88000, Max=302079, Min=40000, Avg=90251.82, 90=181759, 99=302079, 99.9=302079, 99.99=302079] 
2022-12-09 12:51:50:754 10 sec: 854000 operations; 86000 current ops/sec; est completion in 5 minutes [INSERT: Count=86000, Max=223743, Min=42912, Avg=78522.23, 90=111999, 99=223743, 99.9=223743, 99.99=223743] 
2022-12-09 12:51:51:754 11 sec: 938000 operations; 84084.08 current ops/sec; est completion in 5 minutes [INSERT: Count=84000, Max=394239, Min=43552, Avg=136770.67, 90=273407, 99=394239, 99.9=394239, 99.99=394239] 
2022-12-09 12:51:52:754 12 sec: 1036000 operations; 98000 current ops/sec; est completion in 5 minutes [INSERT: Count=98000, Max=367615, Min=44224, Avg=115954.45, 90=223743, 99=367615, 99.9=367615, 99.99=367615] 
2022-12-09 12:51:53:754 13 sec: 1129000 operations; 93000 current ops/sec; est completion in 5 minutes [INSERT: Count=93000, Max=354815, Min=43872, Avg=111664.34, 90=206207, 99=354815, 99.9=354815, 99.99=354815] 
2022-12-09 12:51:54:754 14 sec: 1217000 operations; 87912.09 current ops/sec; est completion in 5 minutes [INSERT: Count=88000, Max=307199, Min=43360, Avg=107543.09, 90=201855, 99=307199, 99.9=307199, 99.99=307199] 
